id,panel_id,track_id,role,datecreated,datemodified
248,778,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
249,779,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
250,779,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
252,781,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
253,782,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
254,783,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
255,784,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
256,785,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
257,786,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
258,787,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
259,789,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
260,790,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
261,791,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
262,792,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
263,793,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
264,778,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
265,794,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
266,728,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
267,795,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
268,796,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
269,635,9,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
270,662,9,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
271,653,9,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
272,652,9,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
273,745,9,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
274,721,9,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
275,705,9,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
276,753,9,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
277,627,9,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
278,796,9,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
279,794,9,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
280,797,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
281,798,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
282,799,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
283,797,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
285,782,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
286,783,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
287,781,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
288,765,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
289,645,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
290,635,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
291,609,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
292,735,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
293,736,8,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
294,600,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
295,585,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
296,587,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
297,586,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
298,725,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
299,767,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
300,767,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
301,702,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
302,787,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
303,643,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
304,647,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
305,756,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
306,650,8,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
307,744,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
308,622,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
309,754,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
310,754,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
311,733,8,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
312,780,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
313,760,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
314,792,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
316,773,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
317,757,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
318,660,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
319,738,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
320,705,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
321,705,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
322,665,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
323,610,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
324,604,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
325,798,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
326,626,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
327,631,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
328,778,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
329,774,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
330,800,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
331,801,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
332,801,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
333,802,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
334,803,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
335,804,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
336,805,5,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
337,806,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
338,807,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
339,808,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
340,809,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
341,810,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
342,811,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
343,827,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
344,828,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
345,829,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
346,830,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
347,831,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
348,832,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
349,833,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
350,834,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
351,835,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
352,836,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
353,837,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
354,838,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
355,839,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
356,840,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
357,842,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
358,843,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
359,844,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
360,845,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
